drug_name,rxcui,canonical_name
(((1-Chloro-4-hydroxyisoquinolin-3-yl)carbonyl)amino)acetic acid,2634407,"(2-AMINO-5,6-DICHLOROQUINAZOLIN-3(4H )-YL)ACETIC ACID"
"(((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenyl)oxy)methyl)phosphonic acid",2045942,4-hydroxybenzyl alcohol
(((phenylcarbamoyl)methyl)thio)gold,1311190,(((phenylcarbamoyl)methyl)thio)gold
"((1R)-1-((2,5-DICHLOROBENZAMIDO)ACETAMIDO)-3-METHYLBUTYL)BORONIC ACID",1723735,"((1R)-1-((2,5-DICHLOROBENZAMIDO)ACETAMIDO)-3-METHYLBUTYL)BORONIC ACID"
"((1R,3S)-1-amino-3-((S)-6-(2-methoxyphenethyl)-5,6,7,8-tetrahydronaphthalen-2-yl)cyclopentyl)methanol",2628469,"(6R)-6-(2-(ethyl((4-(2- (ethylamino)ethyl)phenyl)methyl)amino)-4-methoxyphenyl)- 5,6,7,8-tetrahydronaphthalen-2-ol"
"((1r, 4r)-n1-(2-benzyl-7-(2-methyl-2h-tetrazol-5-yl)-9h-pyrimido(4,5-b)indol-4-yl)cyclohexane-1,4-diamine",1540824,"[(5R)-3-{3-fluoro-4-[6-(2-methyl-2H-tetrazol-5-yl)pyridin-3-yl]phenyl}-2-oxo-1,3-oxazolidin-5-yl]methyl dihydrogen phosphate"
"((2R,3R,4R,5R)-4-ACETOXY-5-(5-AMINO-2-OXO-THIAZOLO(4,5-D)PYRIMIDIN-3-YL)-2-(HYDROXYMETHYL)TETRAHYDROFURAN-3-YL) ACETATE",12574,"4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
"((2R,3S,4R,5R)-5-(4-aminopyrrolo[2,1-f][1,2,4]triazin-7-yl)-5-cyano-3,4-dihydroxytetrahydrofuran-2-yl)methyl isobutyrate",9068,"(S)-(6-Methoxyquinolin-4-yl)((2R,5R)-5-vinylquinuclidin-2-yl)methanol"
"((2s)-4-(7-(8-chloronaphthalen-1-yl)-2-(((2s)-1- methylpyrrolidin-2-yl)methoxy)-5,6,7,8- tetrahydropyrido(3,4-d)pyrimidin-4-yl)-1-(2-fluoroprop2-enoyl)piperazin-2-yl)acetonitrile",2625882,"((2s)-4-(7-(8-chloronaphthalen-1-yl)-2-(((2s)-1- methylpyrrolidin-2-yl)methoxy)-5,6,7,8- tetrahydropyrido(3,4-d)pyrimidin-4-yl)-1-(2-fluoroprop2-enoyl)piperazin-2-yl)acetonitrile"
"((2s,5r)-5-(2-amino-6-methoxy-purin-9-yl)tetrahydrofuran-2-yl)methanol",3364,"9-((2R,5S)-5-(hydroxymethyl)-tetrahydrofuran-2-yl)-1H-purin-6(9H)-one"
((3-iodophenyl)methyl)guanidine,14448,((3-iodophenyl)methyl)guanidine
"((3S)-3-{1-((2R)-2-Ethoxycarbonyl-4-phenylbutyl)cyclopentanecarboxamido}-2-oxo-2,3,4,5-tetrahydro-1H-1-benzazepin-1-yl)acetic acid",3626,"5-chloro-1-{1-[3-(2-oxo-2,3-dihydro-benzoimidazol-1-yl)-propyl]-piperidin-4-yl}-1,3-dihydro-benzoimidazol-2-one"
((4-(((2R)-2-ETHOXY-3-(4-(TRIFLUOROMETHYL)PHENOXY)PROPYL)THIO)-2-METHYLPHENYL)OXY)ACETIC ACID,2690869,((4-(((2R)-2-ETHOXY-3-(4-(TRIFLUOROMETHYL)PHENOXY)PROPYL)THIO)-2-METHYLPHENYL)OXY)ACETIC ACID
"((4-(3-benzyl-4-hydroxybenzyl)-3,5-dimethylphenoxy)methyl)phosphonic acid",2045942,4-hydroxybenzyl alcohol
"((4rs)-2,2-dimethyl-1,3-dioxolan-4-yl)methyl4-((5r,5ar,8ar,9s)-9-((4,6-o-((1r)-ethane-1,1-diyl)-.beta.-d-glucopyranosyl)oxy)-6-oxo-5,5a,6,8,8a,9-hexahydro-2h-furo(3',4':6,7)naphtho(2,3-d)(1,3)dioxol-5-yl)-2,6-dimethoxyphenyl carbonate",4179,"9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-d)-1,3-dioxol-6(5aH)-one"
((6-cyclohexyl-4-methyl-2-oxopyridin-1(2h)-yl)oxy)methyl dihydrogen phosphate,2717944,N-[(3-fluoro-4-methoxypyridin-2-yl)methyl]-3-(methoxymethyl)-1-({4-[(2-oxopyridin-1(2H)-yl)methyl]phenyl}methyl)-1H-pyrazol-4-carboxamide
"((6R,7R)-1-((2-CARBOXY-8-OXO-7-(2-(2-THIENYL)ACETAMIDO)-5-THIA-1-AZABICYCLO(4.2.0)OCT-2-EN-3-YL)METHYL)PYRIDINIUM HYDROXIDE, INNER SALT",2233,"((6R,7R)-1-((2-CARBOXY-8-OXO-7-(2-(2-THIENYL)ACETAMIDO)-5-THIA-1-AZABICYCLO(4.2.0)OCT-2-EN-3-YL)METHYL)PYRIDINIUM HYDROXIDE, INNER SALT"
"((6S)-1-(5-FLUORO-2-PYRIMIDINYL)-1,4,6,7-TETRAHYDRO-6-METHYL-5H-1,2,3-TRIAZOLO(4,5-C)PYRIDIN-5-YL)(3-FLUORO-2-(TRIFLUOROMETHYL)-4-PYRIDINYL)METHANONE",35636,"3-(2-(4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl)ethyl)-6,7,8,9-tetrahydro-2-methyl-4H-pyrido(1,2-A)pyrimidin-4-one"
"((S)-2-AMINO-5,5-DIFLUORO-4,4-DIMETHYLPENTANOIC ACID",9671,(S)-2-Amino-3-hydroxypropanoic acid
((allylthio)methyl) penicillin,7984,Penicillin V
((amino(Imino)methyl)(methyl)amino)acetic acid,2907,((amino(Imino)methyl)(methyl)amino)acetic acid
(+) threo-2-(methylamino)-1-phenyl-1-propanol,8896,(+) threo-2-(methylamino)-1-phenyl-1-propanol
(+)- Epicatechin,2641822,epicatechin
"(+)-(11R,2'S)-erythro-mefloquine",6694,"(+)-(11R,2'S)-erythro-mefloquine"
"(+)-(1S,2R,5S)-menthol",1648123,"(+)-(1S,2R,5S)-menthol"
"(+)-(1S,2S)-Pseudoephedrine",8896,"(+)-(1S,2S)-Pseudoephedrine"
"(+)-(1S,3S,4R)-menthol",1648123,"(+)-(1S,3S,4R)-menthol"
"(+)-(1s,4s)-4-amino-3-(difluoromethylene)-1-cyclopentanecarboxylic acid",3007,(+)-4-amino-3-isoxazolidinone
(+)-(2R)-2-(2-(((R)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine,2578,(+)-(2R)-2-(2-(((R)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine
(+)-(2R)-2-(ACETYLAMINO)-N-BENZYL-3-METHOXYPROPANAMIDE,623400,(+)-(2R)-2-(ACETYLAMINO)-N-BENZYL-3-METHOXYPROPANAMIDE
(+)-(2R)-2-[2-[[(R)-p-chloro-α-methyl-α-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine,2578,(+)-(2R)-2-(2-(((R)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine
"(+)-(2R,3R)-dihydroquercetin",2644502,DIHYDROQUERCETIN GLUCOSIDE
"(+)-(2r,3r,11br)-dihydrotetrabenazine",37578,"(2R,3R)-2,3-Dihydroxybernsteinsäure"
(+)-(2s)-2-(4-chloro-2-methoxyphenyl)-2-((3-methoxy-5-(methylsulfonyl)phenyl)amino)-1-(5-(trifluoromethoxy)-1h-indol-3-yl)ethanone,10898,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid
(+)-(2s)-2-(acetylamino)-3-(4-hydroxyphenyl)propanoic acid,31005,(+)-(2s)-2-(acetylamino)-3-(4-hydroxyphenyl)propanoic acid
"(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid",42463,"(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid"
(+)-(4R)-Limonene,1426476,(+)-(4R)-Limonene
"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate",461016,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate"
"(+)-(5S)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate",461016,"(+)-(5S)-6-(5-Chloropyridin-2-yl)-7-oxo-6,7-dihydro-5H-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate"
"(+)-(6R,7R)-7-((Z)-2-(2-amino-4-thiazolyl)-4-carboxycrotonamido)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid",20492,"(+)-(6R,7R)-7-((Z)-2-(2-amino-4-thiazolyl)-4-carboxycrotonamido)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid"
(+)-(R)-2-(alpha-(2-(Diisopropylamino)ethyl)benzyl)-p-cresol,119565,(+)-(R)-2-(alpha-(2-(Diisopropylamino)ethyl)benzyl)-p-cresol
(+)-(R)-Limonene,1426476,(+)-(R)-Limonene
(+)-(R)-verapamil,11170,(+)-(R)-verapamil
"(+)-(R,R)-tartaric acid",37578,"(+)-(R,R)-tartaric acid"
"(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione",42736,"(+)-(S)-4,4'-Propylenedi-2,6-piperazinedione"
(+)-(S)-6-Methoxy-α-methyl-2-naphthaleneacetic acid,7258,(+)-(S)-6-Methoxy-α-methyl-2-naphthaleneacetic acid
(+)-(S)-N-α-dimethylphenethylamine,1422,"(αS)-N,α-dimethylphenethylamine"
(+)-(S)-Naproxen,7258,(S)-(+)-Naproxen
(+)-(S)-amphetamine,3288,(S)-(+)-amphetamine
(+)-(S)-p-isobutylhydratropic acid,5640,(+)-(S)-p-isobutylhydratropic acid
"(+)-(r)-n-(4-(1-methyl-2-oxo-1,2,3,4-tetrahydroquinolin-6-yl)-5,6,7,8-tetrahydroisoquinolin-8-yl)propionamide",4337,N-(1-Phenethyl-piperidin-4-yl)-N-phenyl-propionamide
(+)-(r)-propafenone,8754,(+)-(r)-propafenone
(+)-.ALPHA.-TOCOPHERYL POLYETHYLENE GLYCOL 1000 SUCCINATE,159151,(+)-.ALPHA.-TOCOPHERYL POLYETHYLENE GLYCOL 1000 SUCCINATE
(+)-.alpha.-dihydrotetrabenazine,2362183,(+)-.alpha.-dihydrotetrabenazine
(+)-.alpha.-dioxadrol,2362183,(+)-.alpha.-dioxadrol
"(+)-1,2-Bis(3,5-dioxo-1-piperazinyl)propane",42736,"(+)-1,2-Bis(3,5-dioxo-1-piperazinyl)propane"
(+)-1-(3-(aminomethyl) phenyl)-N-(5-((3-cyanophenyl)(cyclopropylmethylamino)methyl)-2-fluorophenyl)-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide dihydrochloride,2467540,2-[3-(aminomethyl)phenyl]-N-[5-[(R)-(3-cyanophenyl)-(cyclopropylmethylamino)methyl]-2-fluorophenyl]-5-(trifluoromethyl)pyrazole-3-carboxamide
"(+)-1-(3-methyl-4-morpholino-2,2-diphenylbutyryl)pyrrolidine",3290,"(+)-1-(3-methyl-4-morpholino-2,2-diphenylbutyryl)pyrrolidine"
